arm,t_sim_from_off,mono,z_up,r_horiz,north,east
N,7.3960,4044.9497,5.9878,16.3887,11.5170,11.6597
N,7.4160,4044.9700,5.9868,16.4444,11.5658,11.6898
N,7.4560,4045.0098,5.9847,16.5559,11.6632,11.7503
N,7.4960,4045.0499,5.9827,16.6675,11.7601,11.8112
N,7.5360,4045.0900,5.9807,16.7791,11.8567,11.8725
N,7.5760,4045.1298,5.9787,16.8907,11.9528,11.9343
N,7.5960,4045.1499,5.9777,16.9465,12.0007,11.9653
N,7.6360,4045.1902,5.9757,17.0582,12.0961,12.0278
N,7.6760,4045.2297,5.9738,17.1699,12.1911,12.0907
N,7.6960,4045.2499,5.9728,17.2258,12.2383,12.1224
N,7.7360,4045.2901,5.9709,17.3376,12.3326,12.1861
N,7.7760,4045.3297,5.9690,17.4495,12.4265,12.2502
N,7.7960,4045.3499,5.9680,17.5054,12.4732,12.2825
N,7.8360,4045.3901,5.9662,17.6173,12.5662,12.3475
N,7.8760,4045.4298,5.9644,17.7292,12.6587,12.4130
N,7.8960,4045.4498,5.9635,17.7851,12.7047,12.4460
N,7.9160,4045.4701,5.9626,17.8411,12.7506,12.4791
N,7.9560,4045.5099,5.9608,17.9529,12.8418,12.5457
N,7.9960,4045.5500,5.9591,18.0646,12.9324,12.6128
N,8.0360,4045.5899,5.9575,18.1764,13.0224,12.6806
N,8.0760,4045.6300,5.9558,18.2880,13.1116,12.7490
N,8.1160,4045.6700,5.9543,18.3996,13.2001,12.8181
N,8.1360,4045.6900,5.9535,18.4554,13.2441,12.8529
N,8.1760,4045.7299,5.9520,18.5670,13.3316,12.9230
N,8.2160,4045.7698,5.9506,18.6785,13.4183,12.9937
N,8.2360,4045.7899,5.9500,18.7343,13.4614,13.0293
N,8.2760,4045.8297,5.9488,18.8458,13.5470,13.1012
N,8.2960,4045.8500,5.9482,18.9015,13.5895,13.1374
N,8.3360,4045.8898,5.9467,19.0175,13.6749,13.2159
N,8.3560,4045.9098,5.9460,19.0815,13.7185,13.2631
N,8.3960,4045.9497,5.9508,19.2138,13.8019,13.3671
N,8.4160,4045.9698,5.9578,19.2794,13.8414,13.4206
N,8.4360,4045.9899,5.9680,19.3435,13.8791,13.4738
N,8.4560,4046.0099,5.9811,19.4052,13.9149,13.5255
N,8.4960,4046.0499,6.0120,19.5187,13.9821,13.6191
N,8.5160,4046.0699,6.0278,19.5699,14.0141,13.6596
N,8.5560,4046.1097,6.0563,19.6616,14.0768,13.7267
N,8.5760,4046.1299,6.0680,19.7025,14.1078,13.7535
N,8.5960,4046.1502,6.0777,19.7403,14.1388,13.7759
N,8.6360,4046.1897,6.0910,19.8074,14.2007,13.8085
N,8.6560,4046.2098,6.0949,19.8370,14.2316,13.8190
N,8.6960,4046.2497,6.0980,19.8886,14.2933,13.8296
N,8.7360,4046.2897,6.0965,19.9308,14.3543,13.8271
N,8.7560,4046.3098,6.0945,19.9485,14.3845,13.8214
N,8.7960,4046.3498,6.0888,19.9778,14.4440,13.8016
N,8.8160,4046.3699,6.0854,19.9896,14.4732,13.7880
N,8.8560,4046.4098,6.0780,20.0077,14.5306,13.7539
N,8.8960,4046.4497,6.0704,20.0194,14.5866,13.7116
N,8.9160,4046.4698,6.0667,20.0230,14.6140,13.6877
N,8.9360,4046.4900,6.0630,20.0252,14.6410,13.6620
N,8.9760,4046.5299,6.0558,20.0259,14.6939,13.6060
N,8.9960,4046.5499,6.0524,20.0244,14.7198,13.5758
N,9.0360,4046.5898,6.0459,20.0181,14.7706,13.5112
N,9.0560,4046.6098,6.0428,20.0134,14.7955,13.4770
N,9.0960,4046.6499,6.0369,20.0010,14.8442,13.4049
N,9.1160,4046.6700,6.0340,19.9934,14.8680,13.3671
N,9.1560,4046.7099,6.0286,19.9756,14.9146,13.2883
N,9.1760,4046.7300,6.0260,19.9655,14.9375,13.2473
N,9.2160,4046.7699,6.0209,19.9428,14.9821,13.1625
N,9.2360,4046.7900,6.0185,19.9304,15.0039,13.1188
N,9.2760,4046.8298,6.0138,19.9034,15.0465,13.0287
N,9.2960,4046.8499,6.0115,19.8889,15.0673,12.9824
N,9.3360,4046.8898,6.0071,19.8580,15.1079,12.8877
N,9.3760,4046.9298,6.0030,19.8249,15.1471,12.7903
N,9.3960,4046.9498,6.0009,19.8075,15.1662,12.7406
N,9.4360,4046.9900,5.9970,19.7713,15.2034,12.6395
N,9.4760,4047.0298,5.9933,19.7332,15.2394,12.5364
N,9.4960,4047.0499,5.9915,19.7135,15.2568,12.4840
N,9.5360,4047.0897,5.9880,19.6730,15.2908,12.3780
N,9.5560,4047.1103,5.9863,19.6521,15.3074,12.3244
N,9.5960,4047.1498,5.9830,19.6094,15.3394,12.2159
N,9.6360,4047.1899,5.9798,19.5653,15.3703,12.1061
N,9.6760,4047.2300,5.9767,19.5201,15.3999,11.9949
N,9.7160,4047.2698,5.9738,19.4738,15.4283,11.8826
N,9.7360,4047.2899,5.9723,19.4503,15.4421,11.8260
N,9.7760,4047.3299,5.9695,19.4025,15.4687,11.7121
N,9.8160,4047.3698,5.9667,19.3538,15.4942,11.5973
N,9.8360,4047.3901,5.9654,19.3291,15.5066,11.5396
N,9.8760,4047.4298,5.9627,19.2793,15.5304,11.4236
N,9.9160,4047.4698,5.9601,19.2287,15.5531,11.3068
N,9.9360,4047.4899,5.9588,19.2031,15.5641,11.2481
N,9.9560,4047.5099,5.9575,19.1774,15.5748,11.1893
N,9.9960,4047.5499,5.9550,19.1256,15.5954,11.0712
N,10.0360,4047.5898,5.9525,19.0732,15.6151,10.9525
N,10.0760,4047.6297,5.9500,19.0204,15.6337,10.8333
N,10.0960,4047.6498,5.9488,18.9938,15.6427,10.7735
N,10.1160,4047.6700,5.9476,18.9670,15.6514,10.7136
N,10.1560,4047.7098,5.9452,18.9133,15.6682,10.5935
N,10.1960,4047.7499,5.9428,18.8592,15.6840,10.4729
N,10.2360,4047.7900,5.9404,18.8048,15.6989,10.3520
N,10.2760,4047.8296,5.9380,18.7501,15.7130,10.2307
N,10.2960,4047.8497,5.9368,18.7226,15.7197,10.1700
N,10.3360,4047.8897,5.9344,18.6675,15.7325,10.0482
N,10.3560,4047.9098,5.9333,18.6399,15.7385,9.9872
N,10.3760,4047.9299,5.9321,18.6122,15.7444,9.9262
N,10.3960,4047.9499,5.9309,18.5845,15.7501,9.8650
N,10.4160,4047.9700,5.9297,18.5568,15.7556,9.8039
N,10.4560,4048.0097,5.9274,18.5012,15.7659,9.6813
N,10.4760,4048.0300,5.9262,18.4733,15.7708,9.6200
N,10.5160,4048.0697,5.9239,18.4175,15.7801,9.4971
N,10.5360,4048.0898,5.9227,18.3896,15.7844,9.4356
N,10.5560,4048.1100,5.9216,18.3616,15.7885,9.3740
N,10.5760,4048.1300,5.9204,18.3337,15.7925,9.3124
N,10.6160,4048.1698,5.9181,18.2777,15.7999,9.1890
N,10.6360,4048.1898,5.9169,18.2496,15.8033,9.1272
N,10.6560,4048.2098,5.9158,18.2216,15.8065,9.0654
N,10.6760,4048.2299,5.9146,18.1936,15.8096,9.0035
N,10.7160,4048.2699,5.9123,18.1376,15.8153,8.8797
N,10.7560,4048.3101,5.9100,18.0815,15.8203,8.7556
N,10.7960,4048.3499,5.9077,18.0256,15.8247,8.6314
N,10.8160,4048.3700,5.9065,17.9975,15.8265,8.5692
N,10.8560,4048.4099,5.9039,17.9407,15.8290,8.4445
N,10.8960,4048.4498,5.9006,17.8835,15.8308,8.3190
N,10.9160,4048.4700,5.8987,17.8550,15.8316,8.2560
